City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,mandalgovi,45.76,106.27,73.78,31,88,10.56,MN,1595292974
311,valparaiso,-33.04,-71.63,55.4,87,40,4.7,CL,1595292974
312,padang,-0.95,100.35,80.96,71,88,5.03,ID,1595292974
313,mount pleasant,32.79,-79.86,84.99,83,1,10.67,US,1595292963
314,kapchorwa,1.4,34.45,56.93,93,100,1.95,UG,1595292975
315,robertsport,6.75,-11.37,76.51,88,100,13.42,LR,1595292975
316,mount gambier,-37.83,140.77,48.2,100,90,4.7,AU,1595292922
317,spirit river,55.78,-118.84,77.0,41,75,4.7,CA,1595292734
318,qasigiannguit,68.82,-51.19,53.6,50,100,2.24,GL,1595292975
319,guerrero negro,27.98,-114.06,78.4,49,0,16.37,MX,1595292844
320,mirnyy,62.54,113.96,57.2,100,90,6.71,RU,1595292976
321,ilongero,-4.67,34.87,54.16,85,0,12.21,TZ,1595292976
322,kaduy,59.2,37.15,59.14,95,100,3.11,RU,1595292976
323,zavetnoye,47.12,43.89,73.98,46,21,7.54,RU,1595292976
324,prince rupert,54.32,-130.32,60.8,100,90,9.17,CA,1595292862
325,luanda,-8.84,13.23,66.76,91,22,6.89,AO,1595292976
326,sal rei,16.18,-22.92,78.8,78,75,8.05,CV,1595292976
327,port lincoln,-34.73,135.87,54.63,69,78,6.2,AU,1595292977
328,eyl,7.98,49.82,80.19,53,95,27.27,SO,1595292977
329,buchanan,5.88,-10.05,75.2,100,75,4.7,LR,1595292977
330,taltal,-25.4,-70.48,59.32,67,100,3.13,CL,1595292977
331,luau,-10.71,22.22,53.92,56,0,5.44,AO,1595292977
332,inirida,3.87,-67.92,73.45,94,95,1.74,CO,1595292977
333,kupang,-10.17,123.58,82.4,58,20,11.41,ID,1595292978
334,saint-philippe,-21.36,55.77,64.4,63,90,6.93,RE,1595292978
335,maine-soroa,13.21,12.02,81.23,61,83,14.29,NE,1595292978
336,saint-ambroise,48.55,-71.33,68.0,60,75,13.87,CA,1595292978
337,ocampo,21.65,-101.5,68.99,53,63,6.29,MX,1595292978
338,yerbogachen,61.28,108.01,61.79,55,93,7.49,RU,1595292979
339,port hardy,50.7,-127.42,66.2,77,75,9.17,CA,1595292979
340,urucui,-7.23,-44.56,78.42,50,3,8.14,BR,1595292979
341,ciempozuelos,40.16,-3.62,82.0,42,0,9.17,ES,1595292979
342,vanavara,60.34,102.28,60.71,56,18,2.77,RU,1595292979
343,bacolod,10.67,122.95,84.15,76,93,4.09,PH,1595292922
344,christchurch,-43.53,172.63,62.01,51,0,5.82,NZ,1595292815
345,mvuma,-19.28,30.53,44.56,96,0,5.19,ZW,1595292980
346,asyut,27.18,31.18,78.8,34,0,9.17,EG,1595292980
347,channel-port aux basques,47.57,-59.14,64.18,82,100,8.3,CA,1595292980
348,bijie,27.31,105.29,68.23,86,99,11.92,CN,1595292980
349,coahuayana,18.73,-103.68,82.4,74,75,11.41,MX,1595292980
